episode,score
1000,-25.00000000000008
2000,-25.00000000000008
3000,-11.752000000000045
4000,1.5779999999999998
5000,1.9000000000000006
6000,2.155
7000,1.4580000000000004
8000,2.114
9000,1.622
10000,2.36
11000,1.95
12000,1.9840000000000004
13000,2.0260000000000007
14000,1.4800000000000006
15000,2.055
16000,2.1520000000000006
17000,-0.09399999999999999
18000,2.0260000000000002
19000,1.7860000000000003
20000,2.032
21000,2.0680000000000005
22000,1.868
23000,1.9
24000,1.786
25000,2.073
26000,1.704
27000,2.319
28000,1.827
29000,2.032
30000,1.9909999999999999
31000,1.909
32000,1.9499999999999997
33000,1.9089999999999998
34000,2.114
35000,2.237
36000,1.704
37000,1.8270000000000002
38000,1.5810000000000002
39000,2.1959999999999997
40000,0.0
41000,0.0
42000,0.0
43000,0.0
44000,0.0
45000,1.5810000000000002
46000,2.155
47000,2.032
48000,1.9500000000000002
49000,1.95
50000,2.114
51000,1.5400000000000003
52000,2.278
53000,1.909
54000,1.909
55000,2.114
56000,2.36
57000,4.0
58000,4.0
59000,1.694
60000,2.237
61000,2.032
